applicant_id,application_date,decision_date,visa_status,nationality,processing_center,job_title,job_info_education,naics_title,annual_income_usd,processing_time_days,application_date_year,application_date_month,application_date_day,application_date_dayofweek,decision_date_year,decision_date_month,decision_date_day,decision_date_dayofweek,annual_income_usd_to_processing_time_days_ratio,applicant_id_frequency,visa_status_frequency,nationality_frequency
A-14234-00670,2014-08-27,2015-01-27,Certified-Expired,MALI,VIRGINIA,Clinical Data Analyst,Master's,General Medical and Surgical Hospitals,61028.0,153,2014,8,27,2,2015,1,27,1,396.2857142857143,1,3341,2
A-15153-81993,2015-06-05,2015-12-24,Certified-Expired,PHILIPPINES,IN,Caregiver,Bachelor's,Custom Computer Programming Services,19781.0,202,2015,6,5,4,2015,12,24,3,97.44334975369458,1,3341,118
A-16043-72658,2016-03-03,2016-06-21,Certified,INDIA,CA,Software Engineer,Master's,Custom Computer Programming Services,119350.0,110,2016,3,3,3,2016,6,21,1,1075.2252252252251,1,4398,4703
A-15243-13405,2015-10-01,2016-03-11,Certified-Expired,INDIA,CA,"Software Engineer-Applications (Senior Software Engineer, Quality)",Master's,Custom Computer Programming Services,139050.0,162,2015,10,1,3,2016,3,11,4,853.0674846625767,1,3341,4703
A-15232-10460,2015-09-23,2016-02-12,Certified-Expired,CHINA,MA,Software Engineer,Master's,Custom Computer Programming Services,94000.0,142,2015,9,23,2,2016,2,12,4,657.3426573426574,1,3341,750
A-14307-21818,2014-11-03,2015-04-24,Certified,INDIA,TEXAS,OBIEE Developer I,Master's,Custom Computer Programming Services,79800.0,172,2014,11,3,0,2015,4,24,4,461.271676300578,1,4398,4703
A-16229-42879,2016-09-02,2016-11-23,Certified,INDIA,OH,Sr. Application Database Administrator,Bachelor's,Custom Computer Programming Services,112979.0,82,2016,9,2,4,2016,11,23,2,1361.1927710843374,1,4398,4703
A-14175-81323,2014-06-26,2014-11-13,Certified-Expired,INDIA,NEW JERSEY,Programmer Analyst,Master's,Custom Computer Programming Services,76000.0,140,2014,6,26,3,2014,11,13,3,539.0070921985815,1,3341,4703
A-16181-27686,2016-06-29,2016-09-22,Certified,SOUTH KOREA,OH,Plant Laborer,Master's,Custom Computer Programming Services,17451.0,85,2016,6,29,2,2016,9,22,3,202.91860465116278,1,4398,617
A-16007-58271,2016-01-29,2016-05-19,Certified,IRELAND,NY,"Assistant Vice President, Client Service Specialist, GT Production Business Services",Bachelor's,Custom Computer Programming Services,120000.0,111,2016,1,29,4,2016,5,19,3,1071.4285714285713,1,4398,19
A-15187-94875,2015-07-21,2015-07-22,Withdrawn,CHINA,WASHINGTON,Software Engineer – Transform the Datacenter Pillar or Other,Master's,Software Publishers,102000.0,1,2015,7,21,1,2015,7,22,2,51000.0,1,361,750
A-15110-68573,2015-04-22,2015-11-09,Certified-Expired,CHINA,NJ,"Software QA Analyst (Functional Title: QA Test Engineer, Business Analyst or Test Lead)",Bachelor's,Custom Computer Programming Services,109000.0,201,2015,4,22,2,2015,11,9,0,539.6039603960396,1,3341,750
A-15206-02055,2015-08-06,2016-02-22,Certified-Expired,VENEZUELA,VA,Principal RAN Analyst,Bachelor's,Custom Computer Programming Services,94700.0,200,2015,8,6,3,2016,2,22,0,471.1442786069652,1,3341,59
A-15131-75014,2015-05-08,2016-01-11,Certified-Expired,MEXICO,TX,FARM WORKER,Master's,Custom Computer Programming Services,16640.0,248,2015,5,8,4,2016,1,11,0,66.8273092369478,1,3341,173
A-14321-26340,2014-12-15,2015-07-10,Certified,INDIA,CALIFORNIA,TEST MANAGER,Bachelor's,Custom Computer Programming Services,118643.0,207,2014,12,15,0,2015,7,10,4,570.3990384615385,1,4398,4703
